HALTER_ID,ALTER,GESCHLECHT,STADTKREIS,STADTQUARTIER,RASSE1,RASSE1_MISCHLING,RASSE2,RASSE2_MISCHLING,RASSENTYP,GEBURTSJAHR_HUND,GESCHLECHT_HUND,HUNDEFARBE
155048,41-50,w,10,101,Mischling gross,,,,I,2019,m,grau/braun
119231,71-80,w,10,101,Golden Retriever,,,,I,2011,w,golden
146137,41-50,w,10,101,Dalmatiner,,,,I,2014,m,schwarz/weiss
83856,61-70,w,10,101,Tibet Terrier,,,,K,2012,m,zobel
118377,31-40,m,10,101,Deutscher Schäfer,,,,I,2013,w,grau
152392,31-40,w,10,101,Siberian Husky,,Alaskan Malamute,,I,2019,m,weiss/braun/schwarz
154810,61-70,m,10,101,Labrador Retriever,,,,I,2020,w,fawn
124786,51-60,m,10,101,Mischling klein,,,,K,2010,m,schwarz/braun
81018,91-100,w,10,101,Tervueren,,,,I,2005,w,braun
151617,31-40,w,10,101,Mischling gross,,,,I,2019,w,hellbraun
156469,21-30,w,10,101,Bichon Havanais,,,,K,2013,w,weiss
121595,31-40,w,10,101,Border Collie,,,,I,2013,m,rotbraun/weiss
137188,21-30,m,10,101,Chihuahua,,,,K,2009,w,beige
144292,41-50,w,10,101,Jack Russel Terrier,,,,K,2018,m,weiss/braun
152626,31-40,w,10,101,Dachshund,,,,K,2020,w,rot
81648,41-50,w,10,101,Bolonka Zwetna,,,,K,2020,m,rot/braun/weiss
131076,61-70,m,10,101,Parson Russell Terrier,,,,K,2016,m,tricolor
112386,41-50,w,10,101,Chihuahua,,,,K,2012,w,schwarz
149938,31-40,w,10,101,Labrador Retriever,,,,I,2019,w,schwarz
142830,31-40,w,10,101,Beagle,,,,K,2010,w,tricolor
89778,41-50,w,10,101,Berger des Pyrenées,,,,I,2007,m,gestromt
131517,31-40,w,10,101,Cavalier King Charles Spaniel,,,,K,2016,m,weiss/braun
136205,41-50,m,10,101,Podenco Ibicenco,,,,I,2016,m,rot/braun
138923,41-50,w,10,101,Jack Russel Terrier,,,,K,2015,m,tricolor
147310,41-50,m,10,101,Deutscher Schäfer,,,,I,2016,m,schwarz/braun
98258,41-50,w,10,101,Chihuahua,,,,K,2009,w,black/tan
148600,51-60,m,10,101,Irish Soft Coated Wheaten Terrier,,,,I,2006,m,weizen
155584,31-40,w,10,101,Yorkshire Terrier,,,,K,2020,w,blue/tan
138034,71-80,w,10,101,Flat Coated Retriever,,,,I,2013,w,schwarz
124673,41-50,m,10,101,Dachshund,,,,K,2011,w,braun
115931,51-60,w,10,101,Labrador Retriever,,,,I,2006,m,braun
135865,41-50,w,10,101,Jack Russel Terrier,,,,K,2007,w,weiss/braun
155514,71-80,w,10,101,Malteser,,Bichon Havanais,,K,2020,m,weiss
143229,41-50,w,10,101,Labrador,,Pudel,,I,2018,w,apricot
101329,31-40,w,10,101,Mischling klein,,,,K,2009,m,schwarz/weiss
107170,41-50,m,10,101,Golden Retriever,,Pudel,,I,2020,w,hellbraun
129914,21-30,w,10,101,Mischling gross,,,,I,2017,m,schwarz
132210,31-40,w,10,101,Labrador Retriever,,Beagle,,I,2011,m,blondfarben
155315,41-50,w,10,101,Mischling klein,,,,K,2020,m,schwarz
86990,51-60,m,10,101,Labrador Retriever,,,,I,2017,m,schwarz
90059,51-60,m,10,101,Nova Scotia Duck Tolling Retriever,,,,I,2007,w,rot/weiss
81001,71-80,m,10,101,Boxer,,,,I,2017,w,gestromt
109760,41-50,w,10,101,Husky,Mischling,,,I,2016,w,schwarz/weiss/braun
83335,51-60,m,10,101,English Cocker Spaniel,,,,K,2017,m,braun/beige
155429,21-30,m,10,101,Lagotto Romagnolo,,,,I,2019,m,orange
147623,41-50,w,10,101,Australian Shepherd,,,,I,2009,m,rot/weiss
141315,31-40,w,10,101,Labrador Retriever,,,,I,2016,w,schwarz/weiss
103617,51-60,w,10,101,Mischling klein,,,,K,2018,w,weiss
117214,81-90,m,10,101,Flat Coated Retriever,,,,I,2013,m,schwarz
99898,61-70,w,10,101,Terrier,Mischling,,,K,2006,w,tricolor
148963,51-60,w,10,101,Boxer,,,,I,2012,w,gestromt
118236,61-70,w,10,101,Bobtail (Old English Shepdog),,,,I,2013,w,grau/weiss
82262,91-100,m,10,101,Deutscher Kleinspitz,,,,K,2017,m,weiss/schwarz
89705,51-60,w,10,101,Shetland Sheepdog,,,,K,2007,w,tricolor
124790,51-60,w,10,101,Mischling gross,,,,I,2014,w,braun/schwarz
132701,61-70,w,10,101,Mischling klein,,,,K,2011,w,braun
88956,61-70,m,10,101,Jack Russel Terrier,,,,K,2005,m,schwarz/braun
83455,71-80,m,10,101,Mischling gross,,,,I,2004,m,braun
124665,31-40,m,10,101,Mischling klein,,,,K,2014,m,braun/weiss
85003,71-80,w,10,101,Beagle,,,,K,2013,w,tricolor
128528,41-50,w,10,101,Französische Bulldogge,,,,K,2015,w,weiss/schwarz
140613,51-60,m,10,101,Mischling gross,,,,I,2014,w,braun
133676,31-40,w,10,101,Schäfer,Mischling,,,I,2014,w,schwarz
145523,31-40,w,10,101,Italienisches Windspiel,,,,K,2017,w,blau
88998,51-60,w,10,101,Golden Retriever,,Pudel,,I,2014,w,creme
148355,21-30,w,10,101,Mischling gross,,,,I,2016,w,tricolor
90594,31-40,m,10,101,Cavalier King Charles Spaniel,,,,K,2020,m,black/tan
138025,31-40,w,10,101,Mischling gross,,,,I,2016,w,schwarz/weiss/braun
86310,41-50,w,10,101,Cocker Spaniel,,,,K,2017,w,choco
127875,61-70,w,10,101,Labrador Retriever,,,,I,2015,w,schwarz
108336,51-60,w,10,101,Deutscher Pinscher,,,,I,2020,w,schwarz/rot
155453,41-50,w,10,101,Malinois,,,,I,2020,m,braun/schwarz
80999,61-70,w,10,101,West Highland White Terrier,,,,K,2012,w,weiss
87738,41-50,w,10,101,Chihuahua,,,,K,2008,m,braun/schwarz
80917,41-50,w,10,101,Mischling gross,,,,I,2014,w,weiss/braun
87015,61-70,m,10,101,Border Collie,,Bergamasker,,I,2007,w,schwarz/weiss
135927,51-60,m,10,101,Cocker Spaniel,,,,K,2013,m,schwarz
154493,31-40,w,10,101,Mischling klein,,,,K,2012,w,grau
84946,51-60,m,10,101,Irish Setter,,,,I,2014,m,mahagoni
150706,41-50,m,10,101,Mischling gross,,,,I,2013,m,schwarz/braun
114004,61-70,w,10,101,Border Collie,,Golden Retriever,,I,2012,w,schwarz
156232,31-40,w,10,101,Chesapeake Bay Retriever,,,,I,2020,m,braun
84878,71-80,w,10,101,Dachshund,,,,K,2006,w,saufarben
124649,71-80,w,10,101,Dachshund,,,,K,2007,w,saufarben
84393,41-50,w,10,101,Französische Bulldogge,,,,K,2016,m,schwarz/weiss
144137,51-60,m,10,101,Beagle,,,,K,2013,w,tricolor
81188,51-60,m,10,101,Jack Russel Terrier,,,,K,2011,w,braun/weiss
86918,61-70,w,10,101,Mischling klein,,,,K,2015,w,schwarz
100834,31-40,m,10,101,Labrador Retriever,,,,I,2016,m,schwarz
82271,61-70,w,10,101,Border Collie,,,,I,2010,w,schwarz/weiss
136604,41-50,w,10,101,Golden Retriever,,,,I,2017,w,golden
80127,51-60,w,10,101,Mischling gross,,,,I,2016,m,weiss/braun
125025,21-30,w,10,101,Chihuahua,,,,K,2010,m,braun
82080,61-70,m,10,101,Dachshund,,,,K,2009,w,saufarben
121047,31-40,w,10,101,Chihuahua,,,,K,2008,m,creme
142486,41-50,w,10,101,Bolonka Zwetna,,,,K,2020,m,zobel
152703,51-60,m,10,101,Jack Russel Terrier,,,,K,2011,m,schwarz/weiss
82190,61-70,w,10,101,Mischling gross,,,,I,2011,m,schwarz/weiss
141082,71-80,m,10,101,Flat Coated Retriever,,,,I,2016,m,schwarz
86192,71-80,w,10,101,Russischer schwarzer Terrier,,,,I,2010,w,sable
125114,31-40,w,10,101,Pinscher,,,,K,2013,m,hellbraun
142945,31-40,m,10,101,Labrador Retriever,,,,I,2019,w,Fox/Red
152970,41-50,w,10,101,Jack Russel Terrier,,,,K,2020,w,weiss/braun
86316,71-80,m,10,101,Flat Coated Retriever,,,,I,2014,m,schwarz
106762,51-60,w,10,101,Irish Setter,,,,I,2011,m,mahagoni
125330,51-60,w,10,101,Malteser,,,,K,2014,w,weiss
124733,31-40,m,10,101,Mops,,,,K,2009,m,beige
153022,61-70,m,10,101,Rauhaar Dackel,,,,K,2020,m,rot
148107,51-60,w,10,101,Basset Hound,,,,I,2019,m,tricolor
122805,21-30,w,10,101,Golden Retriever,,Grosspudel,,I,2020,m,schwarz
127078,21-30,m,10,101,Chihuahua,,,,K,2006,w,braun
146627,51-60,w,10,101,Labrador,,Golden Retriever,,I,2017,m,beige
156945,31-40,w,10,101,Basenji,,,,K,2020,w,tricolor
137597,31-40,w,10,101,Mischling gross,,,,I,2017,w,braun
87671,61-70,w,10,101,Jack Russel Terrier,,,,K,2013,w,weiss/schwarz
145035,51-60,m,10,101,Lagotto Romagnolo,,,,I,2018,m,braun/grau
86554,61-70,w,10,101,Berner Sennenhund,,,,I,2009,w,tricolor
80982,61-70,w,10,101,Dachshund,,,,K,2013,w,gestromt
105663,71-80,w,10,101,Yorkshire Terrier,,Havaneser,,K,2019,w,tricolor
93294,31-40,w,10,101,Soft Coated Wheaten Terrier,,,,I,2008,m,weizen
145238,81-90,w,10,101,Magyar Viszla,,,,I,2017,w,hellbraun
150655,71-80,w,10,101,Lagotto Romagnolo,,,,I,2016,w,grau/weiss
117660,41-50,w,10,101,Mischling gross,,,,I,2014,m,schwarz/weiss
151453,31-40,m,10,101,Golden Retriever,,Setter,,I,2017,m,weiss
156047,51-60,w,10,101,Border Collie,,,,I,2018,w,tricolor
105622,61-70,w,10,101,Flat Coated Retriever,,,,I,2020,w,schwarz
119523,41-50,w,10,101,Lagotto Romagnolo,,,,I,2013,w,orange
129110,31-40,w,10,101,West Highland White Terrier,,,,K,2008,w,weiss
151934,21-30,m,10,101,Mischling klein,,,,K,2019,w,braun
81248,71-80,m,10,101,Deutscher Schäfer,,,,I,2012,m,braun/schwarz
154100,11-20,w,10,101,Australian Shepherd,,,,I,2020,w,red-tri
144195,61-70,w,10,101,Bolonka Zwetna,,,,K,2018,m,zobel beige
83256,41-50,w,10,101,Labrador Retriever,,,,I,2012,w,schwarz
89176,51-60,w,10,101,Yorkshire Terrier,Mischling,,,K,2005,w,schwarz/braun
125539,71-80,w,10,101,West Highland White Terrier,,,,K,2017,w,weiss
87636,51-60,w,10,101,Sennenhund,Mischling,,,I,2006,m,tricolor
107082,71-80,w,10,101,Nova Scotia Duck Tolling Retriever,,,,I,2011,w,weiss/braun
124476,31-40,m,10,101,Labrador Retriever,,,,I,2014,m,grau
93900,51-60,w,10,101,Mischling klein,,,,K,2016,m,schwarz
84393,41-50,w,10,101,Zwergspitz,,,,K,2018,w,weiss
131517,31-40,w,10,101,Cavalier King Charles Spaniel,,,,K,2016,m,ruby
131571,51-60,w,10,101,Yorkshire Terrier,,,,K,2016,m,grau/braun/weiss
152770,41-50,w,10,101,Zwergpudel,,,,K,2020,m,schwarz
152455,21-30,w,10,101,Berner Sennenhund,,,,I,2019,m,schwarz/braun/weiss
82261,61-70,w,10,101,Chow Chow,,,,I,2007,m,rot
93288,51-60,w,10,101,Cavalier King Charles Spaniel,,,,K,2007,m,tricolor
154897,41-50,w,10,101,Mischling gross,,,,I,2014,w,braun
83108,61-70,w,10,101,Mischling gross,,,,I,2013,w,rehbraun
121092,71-80,w,10,101,Norwich Terrier,,,,K,2009,w,black/tan
87346,71-80,w,10,101,Mittelpudel,,,,K,2011,w,schwarz
148721,61-70,w,10,101,Boxer,,,,I,2012,m,gestromt
135931,31-40,m,10,101,Dogo Argentino,,,,I,2016,m,weiss
106996,71-80,w,10,101,Mischling klein,,,,K,2005,m,tricolor
88481,81-90,w,10,101,Jack Russel Terrier,,,,K,2005,w,weiss/schwarz/braun
156688,41-50,w,10,101,Bolonka Zwetna,,,,K,2020,m,schoko
89008,51-60,m,10,101,Zwergpinscher,,,,K,2016,w,schwarz/rot
93872,31-40,w,10,101,Schäfer,,Englische Bulldogge,,I,2007,w,weiss/braun
82574,81-90,w,10,101,Mischling klein,,,,K,2007,w,goldbraun
146762,31-40,m,10,101,Cane Corso,,,,I,2018,w,grau
154880,31-40,w,10,101,Deutscher Pinscher,,,,I,2020,w,braun
81638,51-60,w,10,101,Labrador Retriever,Mischling,,,I,2012,m,beige
108136,61-70,w,10,101,Katalanischer Schäferhund (Gos d'Atura Català),,,,I,2009,w,fauve
106226,51-60,w,10,101,Parson Russell Terrier,,,,K,2008,w,tricolor
151525,31-40,m,10,101,Galgo Espanol,,,,I,2018,w,schwarz
97774,51-60,w,10,101,Schäfer,Mischling,,,I,2006,w,braun
115660,71-80,m,10,101,Boxer,,,,I,2013,w,dunkel gestromt
136334,31-40,m,10,101,Mischling klein,,,,K,2016,w,braun/weiss
135395,51-60,m,10,101,Segugio italiano,,,,I,2011,m,braun/schwarz
91145,51-60,w,10,101,Jack Russel Terrier,,,,K,2006,m,tricolor
136974,41-50,m,10,101,Welsh Terrier,,,,K,2016,m,black/tan
93237,51-60,w,10,101,Dogo Canario,,,,I,2015,w,hellbraun
148681,61-70,m,10,101,Mischling klein,,,,K,2017,m,schwarz
87466,71-80,w,10,101,Mischling klein,,,,K,2010,m,braun
133898,41-50,w,10,101,Neufundländer,,,,I,2016,w,braun
100200,31-40,w,10,101,Schäfer,,,,I,2009,m,weiss
124446,31-40,w,10,101,Podenco,,,,I,2009,w,tricolor
87070,61-70,w,10,101,Tibet Terrier,,,,K,2013,w,fauve
81677,51-60,w,10,101,Mischling klein,,,,K,2010,w,schwarz
142945,31-40,m,10,101,Labrador,,,,I,2019,m,Fox/Red
126868,41-50,m,10,101,Kooikerhondje,,,,K,2010,m,rot/weiss
152197,41-50,w,10,101,Mischling gross,,,,I,2018,w,blondfarben
98535,71-80,w,10,101,Jack Russel Terrier,,,,K,2005,m,tricolor
145734,61-70,w,10,101,Yorkshire Terrier,,,,K,2015,w,rot/schwarz
131083,61-70,w,10,101,Bolonka Zwetna,,,,K,2015,w,schwarz/weiss
143229,41-50,w,10,101,Labrador,,Pudel,,I,2013,w,apricot
95722,41-50,w,10,101,Shetland Sheepdog,,,,K,2020,m,zobel
150529,31-40,w,10,101,Rhodesian Ridgeback,,,,I,2017,m,weizen
82190,61-70,w,10,101,Mischling klein,,,,K,2009,m,beige
85198,51-60,w,10,101,Labrador Retriever,,,,I,2010,w,gelb
146807,51-60,m,10,101,Lagotto Romagnolo,,,,I,2019,m,braun/weiss
106193,61-70,m,10,101,Yorkshire Terrier,,,,K,2010,w,blue/tan
5227,71-80,m,10,101,Border Terrier,,,,K,2011,w,tricolor
81640,71-80,w,10,101,Cairn Terrier,,,,K,2014,m,beige
107881,21-30,w,10,101,Jack Russel Terrier,,,,K,2011,m,tricolor
88222,31-40,w,10,101,Schäfer,Mischling,,,I,2004,m,braun/weiss/schwarz
112412,31-40,m,10,101,Boston Terrier,,,,K,2011,m,weiss gestromt
87738,41-50,w,10,101,Chihuahua,,,,K,2012,m,blue/tan
71729,51-60,w,10,101,Mischling gross,,,,I,2020,w,hellbraun
143029,41-50,w,10,101,Petit Brabançon,,,,K,2017,w,black/tan
92434,31-40,w,10,101,Labrador Retriever,,Rottweiler,,I,2007,m,schwarz/braun
